Episode,TotalVehicles,VehiclesWaiting,EpisodeDuration,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed
1,4,4,20,97.34193,97.34193,1,20,0
2,8,8,30.19477,66.23663,66.23663,2,30,0
3,13,1,40.64408,61.50958,61.50958,0,40,0
4,16,4,21.33334,70.31249,70.31249,1,20,0
5,19,4,33.33334,45,45,2,33,0
6,24,1,40,62.5,62.5,0,40,0
7,26,3,20,50,50,1,20,0
8,30,7,30,66.66666,66.66666,2,30,0
9,34,1,40.00002,49.99998,49.99998,0,40,0
10,37,3,20,75,75,1,19,0
11,41,7,33.33331,60.00004,60.00004,2,33,0
12,45,1,40,50,50,0,40,0
13,48,4,20.00003,74.99989,74.99989,1,20,0
14,52,8,30,66.66666,66.66666,2,30,0
15,58,2,40,75,75,0,40,0
16,61,4,20,75,75,1,20,0
17,64,7,30,50,50,2,30,0
18,69,1,40,62.5,62.5,0,40,0
19,72,4,20,75,75,1,20,0
20,75,6,30,50,50,2,30,0
21,81,2,40,75,75,0,40,0
22,83,3,20,50,50,1,20,0
23,87,7,30,66.66666,66.66666,2,28,0
24,92,1,40,62.5,62.5,0,40,0
25,94,3,20,50,50,1,20,0
26,98,3,30,66.66666,66.66666,2,30,0
27,103,1,40,62.5,62.5,0,40,0
28,105,3,20,50,50,1,20,0
29,109,6,30,66.66666,66.66666,2,30,0
30,114,2,40,62.5,62.5,0,40,0
31,116,3,20,50,50,1,20,0
32,120,6,30,66.66666,66.66666,2,30,0
33,124,1,40,50,50,0,40,0
34,127,3,20,75,75,1,20,0
35,131,6,30,66.66666,66.66666,2,30,0
36,135,1,40,50,50,0,38,0
37,138,3,20,75,75,1,18,0
38,141,6,30,50,50,2,30,0
39,146,1,40,62.5,62.5,0,40,0
40,148,3,20,50,50,1,20,0
41,153,8,36.66675,68.18166,68.18166,2,34,0
42,158,1,40,62.5,62.5,0,40,0
43,161,4,20,75,75,1,20,0
44,164,6,30,50,50,2,30,0
45,170,2,40,75,75,0,40,0
46,172,3,20,50,50,1,20,0
47,175,5,30,50,50,2,30,0
48,180,1,40,62.5,62.5,0,40,0
49,183,4,20,75,75,1,20,0
50,187,8,30,66.66666,66.66666,2,30,0
51,192,1,40,62.5,62.5,0,40,0
52,194,3,20,50,50,1,20,0
53,198,7,30,66.66666,66.66666,2,30,0
54,203,1,40,62.5,62.5,0,40,0
55,205,3,20,50,50,1,20,0
56,209,6,33.33325,60.00014,60.00014,2,31,0
57,213,1,40,50,50,0,40,0
58,215,2,20,50,50,1,20,0
59,219,6,30,66.66666,66.66666,2,30,0
60,224,1,40,62.5,62.5,0,37,0
61,226,3,16.66675,59.99971,59.99971,1,15,0
62,229,5,30,50,50,2,27,0
63,234,1,40,62.5,62.5,0,40,0
64,237,4,20,75,75,1,20,0
65,241,8,30,66.66666,66.66666,2,30,0
66,245,1,36.66663,54.54552,54.54552,0,36,0
67,247,3,20,50,50,1,20,0
68,251,7,30,66.66666,66.66666,2,30,0
69,256,1,40.00012,62.49981,62.49981,0,40,0
70,259,4,20,75,75,1,20,0
71,263,8,30,66.66666,66.66666,2,30,0
72,267,1,40,50,50,0,40,0
73,270,3,20,75,75,1,20,0
74,273,5,30,50,50,2,30,0
75,278,1,40,62.5,62.5,0,40,0
76,281,4,26.6665,56.25034,56.25034,1,25,0
77,285,7,30,66.66666,66.66666,2,30,0
78,291,2,40,75,75,0,40,0
79,293,3,20,50,50,1,20,0
80,296,5,30,50,50,2,30,0
81,300,1,40,50,50,0,40,0
82,302,2,20,50,50,1,20,0
83,306,6,30,66.66666,66.66666,2,30,0
84,310,1,40,50,50,0,40,0
85,313,3,20,75,75,1,20,0
86,316,6,30,50,50,2,30,0
87,322,2,40,75,75,0,40,0
88,324,3,16.66675,59.99971,59.99971,1,14,0
89,328,7,33.33325,60.00014,60.00014,2,31,0
90,332,1,40,50,50,0,40,0
91,334,3,20,50,50,1,20,0
92,338,7,30,66.66666,66.66666,2,30,0
93,343,1,40,62.5,62.5,0,40,0
94,345,3,20,50,50,1,20,0
95,349,7,30,66.66666,66.66666,2,30,0
96,354,1,40,62.5,62.5,0,40,0
97,357,4,20,75,75,1,20,0
98,361,6,30,66.66666,66.66666,2,30,0
99,366,1,40,62.5,62.5,0,40,0
100,369,4,20,75,75,1,20,0
101,373,6,30,66.66666,66.66666,2,30,0
102,377,1,40,50,50,0,40,0
103,380,3,20,75,75,1,20,0
104,383,6,30,50,50,2,30,0
105,388,1,40,62.5,62.5,0,40,0
106,391,3,20,75,75,1,20,0
107,394,6,30,50,50,2,30,0
108,399,1,40,62.5,62.5,0,40,0
109,402,4,20,75,75,1,20,0
110,405,6,30,50,50,2,30,0
111,409,1,36.66675,54.54533,54.54533,0,34,0
112,411,3,20,50,50,1,19,0
113,415,2,30,66.66666,66.66666,2,30,0
114,419,1,40,50,50,0,40,0
115,421,3,20,50,50,1,20,0
116,425,6,33.3335,59.99971,59.99971,2,32,0
117,430,1,40,62.5,62.5,0,40,0
118,432,3,20,50,50,1,20,0
119,436,7,33.33325,60.00014,60.00014,2,32,0
120,440,1,40,50,50,0,40,0
121,443,3,20,75,75,1,20,0
122,446,6,30,50,50,2,30,0
123,451,1,40,62.5,62.5,0,40,0
124,454,4,20,75,75,1,20,0
125,457,7,30,50,50,2,30,0
126,462,1,40,62.5,62.5,0,40,0
127,465,4,20,75,75,1,20,0
128,469,7,30,66.66666,66.66666,2,30,0
129,474,1,40,62.5,62.5,0,40,0
130,476,3,20,50,50,1,20,0
131,479,6,30,50,50,2,30,0
132,484,1,40,62.5,62.5,0,40,0
133,487,3,20,75,75,1,20,0
134,490,2,30,50,50,2,30,0
135,494,1,40,50,50,0,40,0
136,497,3,20,75,75,1,20,0
137,501,5,29.99976,66.66721,66.66721,2,30,0
