SimulationTime,Episode,Step,TotalVehicles,VehiclesWaiting,QueueLength,CumulativeReward,CurrentReward,CurrentPhase,GreenLightTime,FuelConsumed,AverageWaitTime
10.03638,0,0,2,2,2,0,0,1,0,0,0
20.22721,0,0,3,3,3,0,0,1,0,0,0
30.48429,2,4,4,1,1,0,74.15753,2,30,0,0
40.48429,2,4,5,1,1,0,74.15753,2,30,0,0
50.48429,2,7,6,2,2,0,74.15753,2,30,0,0
60.48429,3,2,7,1,1,0,49.57518,0,40,0,0
72.59695,3,3,9,1,1,0,49.57518,0,40,0,0
85.29766,3,3,10,0,0,0,49.57518,0,40,0,0
95.29766,4,2,12,1,1,0,60.26995,1,17,0,0
105.2977,4,4,13,2,2,0,60.26995,1,17,0,0
115.2977,5,10,14,3,3,0,75,2,30,0,0
125.2977,5,11,16,5,5,0,75,2,30,0,0
138.631,5,13,17,6,6,0,75,2,30,0,0
151.556,6,8,18,3,3,0,60.74417,0,40,0,0
161.556,6,9,20,1,1,0,60.74417,0,40,0,0
171.556,6,9,21,1,1,0,60.74417,0,40,0,0
181.556,6,11,22,1,1,0,60.74417,0,40,0,0
191.556,7,7,23,1,1,0,50,1,20,0,0
201.556,7,10,24,2,2,0,50,1,20,0,0
211.556,8,6,25,0,0,0,75,2,28,0,0
221.556,8,7,27,1,1,0,75,2,28,0,0
231.556,8,8,28,2,2,0,75,2,28,0,0
241.556,9,9,29,1,1,0,50,0,40,0,0
251.556,9,10,31,1,1,0,50,0,40,0,0
261.556,9,10,32,1,1,0,50,0,40,0,0
271.556,9,11,33,1,1,0,50,0,40,0,0
281.556,10,9,34,1,1,0,62.49998,1,20,0,0
291.556,10,11,35,2,2,0,62.49998,1,20,0,0
301.556,11,9,37,4,4,0,75,2,35,0,0
311.556,11,10,38,5,5,0,75,2,35,0,0
321.556,11,11,39,6,6,0,75,2,35,0,0
331.556,11,23,40,7,7,0,75,2,35,0,0
341.556,12,3,42,3,3,0,54.54547,0,40,0,0
354.0746,12,3,43,1,1,0,54.54547,0,40,0,0
364.0746,12,4,44,1,1,0,54.54547,0,40,0,0
374.0746,12,16,45,1,1,0,54.54547,0,40,0,0
384.0746,13,4,46,2,2,0,58.79778,1,20,0,0
394.0746,13,16,47,3,3,0,58.79778,1,20,0,0
404.0746,14,3,49,5,5,0,50,2,30,0,0
414.0746,14,4,50,6,6,0,50,2,30,0,0
426.7157,14,16,51,7,7,0,50,2,30,0,0
436.7157,15,3,52,3,3,0,61.27248,0,40,0,0
446.7157,15,3,53,0,0,0,61.27248,0,40,0,0
456.7157,15,4,54,0,0,0,61.27248,0,40,0,0
466.7157,15,16,55,0,0,0,61.27248,0,40,0,0
476.7157,16,3,56,1,1,0,50,1,20,0,0
486.7157,16,14,57,2,2,0,50,1,20,0,0
496.7157,17,2,59,2,2,0,50,2,30,0,0
506.7157,17,3,60,3,3,0,50,2,30,0,0
516.7157,17,14,61,4,4,0,50,2,30,0,0
526.7157,18,1,63,1,1,0,66.6666,0,41,0,0
536.7157,18,2,64,1,1,0,66.6666,0,41,0,0
546.7157,18,3,65,1,1,0,66.6666,0,41,0,0
559.5798,18,14,67,1,1,0,66.6666,0,41,0,0
569.5798,19,2,68,2,2,0,69.98868,1,20,0,0
579.5798,19,13,70,4,4,0,69.98868,1,20,0,0
589.5798,20,1,71,4,4,0,75,2,30,0,0
599.5798,20,3,72,5,5,0,75,2,30,0,0
609.5798,20,13,73,6,6,0,75,2,30,0,0
619.5798,21,1,75,1,1,0,50,0,40,0,0
629.5798,21,2,76,1,1,0,50,0,40,0,0
639.5798,21,3,78,1,1,0,50,0,40,0,0
