Episode,TotalVehicles,VehiclesWaiting,EpisodeDuration,AverageWaitTime,Throughput,CurrentPhase,PhaseGreenTime,FuelConsumed
1,5,4,30.42393,0,0.1643443,2,30,0
2,10,2,31.05717,0,0.3219868,0,40,0
3,14,2,30.87558,0,0.4534328,1,20,0
4,18,3,31.15183,0,0.5778151,2,30,0
5,22,1,30.60703,0,0.7187892,0,40,0
6,26,3,31.01894,0,0.8381976,1,20,0
7,31,8,31.08475,0,0.9972737,2,30,0
8,36,2,30.8647,0,1.166381,0,40,0
9,40,3,30.97308,0,1.291444,1,20,0
10,46,9,31.14117,0,1.477144,2,30,0
11,50,2,31.34164,0,1.595322,0,40,0
12,55,4,30.86365,0,1.782032,1,20,0
13,59,8,30.64493,0,1.925278,2,30,0
14,64,2,31.48544,0,2.032685,0,40,0
15,68,4,31.25284,0,2.175802,1,20,0
16,73,9,31.12042,0,2.345726,2,30,0
17,77,2,31.82129,0,2.419764,0,40,0
18,81,5,31.49988,0,2.571439,1,20,0
19,85,9,30.89288,0,2.751443,2,30,0
20,89,1,31.62695,0,2.814055,1,20,0
21,93,5,31.82184,0,2.922521,2,30,0
22,98,4,30.42393,0,0.1643443,2,30,0
23,103,2,31.05717,0,0.3219868,0,40,0
24,107,2,30.87558,0,0.4534328,1,20,0
25,111,3,31.15183,0,0.5778151,2,30,0
26,115,1,30.60703,0,0.7187892,0,40,0
27,119,3,31.01894,0,0.8381976,1,20,0
28,124,8,31.08475,0,0.9972737,2,30,0
29,129,2,30.8647,0,1.166381,0,40,0
30,133,3,30.97308,0,1.291444,1,20,0
31,139,9,31.14117,0,1.477144,2,30,0
32,143,2,31.34164,0,1.595322,0,40,0
33,148,4,30.86365,0,1.782032,1,20,0
34,152,8,30.64493,0,1.925278,2,30,0
35,157,2,31.48544,0,2.032685,0,40,0
36,161,4,31.25284,0,2.175802,1,20,0
37,166,9,31.12042,0,2.345726,2,30,0
38,170,2,31.82129,0,2.419764,0,40,0
39,174,5,31.49988,0,2.571439,1,20,0
40,178,9,30.89288,0,2.751443,2,30,0
41,182,1,31.62695,0,2.814055,1,20,0
42,186,5,31.82184,0,2.922521,2,30,0
