Step,Episode,TotalVehicles,VehiclesWaiting,SimulationTime
1,1,1,1,1.009801
2,1,1,1,2.015282
3,1,1,1,3.016139
4,1,1,1,4.020107
5,1,1,1,5.023589
6,1,1,1,6.027706
7,1,1,1,7.032004
8,1,1,1,8.033596
9,1,2,2,9.04495
10,1,2,2,10.05561
11,1,2,2,11.06913
12,1,2,2,12.06973
13,1,2,2,13.08051
14,1,2,2,14.08294
15,1,2,2,15.08554
16,1,3,3,16.0908
17,1,3,3,17.10307
18,1,3,3,18.32988
19,1,3,3,19.33862
20,1,3,3,20.33965
21,1,4,4,21.34715
22,1,4,4,22.36625
23,1,4,4,23.37675
24,1,4,4,24.37832
25,1,4,4,25.38915
26,1,4,4,26.40419
27,1,4,4,27.42558
28,1,4,4,28.43995
29,1,5,5,29.44215
30,1,5,5,30.47545
31,2,5,5,31.4961
32,2,5,5,32.5013
33,2,5,5,33.51578
34,2,5,5,34.53946
35,2,5,5,35.55908
36,2,5,5,36.58245
37,2,6,6,37.65686
38,2,6,6,38.71854
39,2,6,6,39.76256
40,2,6,6,40.7952
41,2,6,6,41.94619
42,2,6,6,43.24534
43,2,6,6,45.03091
44,2,7,7,46.36078
45,2,7,7,47.39906
46,2,7,7,48.4512
47,2,7,7,49.62178
48,2,7,7,50.79311
49,2,8,8,51.82166
50,2,8,8,52.9457
51,2,8,8,53.96598
52,2,8,7,54.99006
53,2,8,6,56.12286
54,2,9,6,57.22004
55,2,9,4,58.28276
56,2,9,3,59.9411
57,2,9,2,61.14134
58,2,9,2,62.47467
59,2,9,1,64.0533
60,2,10,2,65.11871
61,3,10,2,66.17742
62,3,10,1,67.21962
63,3,10,1,68.22607
64,3,10,1,69.66252
65,3,10,1,70.71451
66,3,10,1,71.74145
67,3,10,0,72.77973
68,3,11,1,73.78881
69,3,11,1,74.81043
70,3,11,1,75.86724
71,3,11,1,78.19549
72,3,12,2,79.28868
73,3,12,2,80.31261
74,3,12,2,81.31986
75,3,12,1,82.352
76,3,12,1,83.43956
77,3,13,2,84.49464
78,3,13,2,85.55161
79,3,13,2,86.61617
80,3,13,2,87.65601
81,3,13,2,88.67385
82,3,13,2,89.70157
83,3,14,3,90.70988
84,3,14,3,91.81307
85,3,14,3,92.85875
86,3,14,3,93.9192
87,3,14,3,94.92132
88,3,14,3,95.96227
89,3,14,3,97.02238
90,3,15,4,98.04506
91,4,15,4,99.09858
92,4,15,4,100.0996
93,4,15,4,101.1194
94,4,15,4,102.1664
95,4,15,4,103.2175
96,4,16,5,104.2348
97,4,16,5,105.275
98,4,16,5,106.3002
99,4,16,5,107.3334
100,4,16,5,108.3886
101,4,16,5,109.4253
102,4,16,5,110.5003
103,4,16,5,111.5059
104,4,16,5,113.1564
105,4,17,5,114.476
106,4,17,5,115.5325
107,4,17,5,117.0721
108,4,17,5,118.3203
109,4,18,6,119.4149
110,4,18,6,120.5433
111,4,18,6,121.6155
112,4,18,6,122.6485
113,4,18,6,123.7551
114,4,18,6,124.7658
115,4,19,7,125.9833
116,4,19,7,127.3833
117,4,19,7,128.4101
118,4,19,7,129.5767
119,4,20,8,130.5935
120,4,20,8,131.6078
121,5,20,8,132.6276
122,5,20,8,133.733
123,5,20,8,134.815
124,5,21,9,135.874
125,5,21,9,136.8962
126,5,21,9,137.9599
127,5,21,9,139.2941
128,5,21,9,140.5975
129,5,21,9,141.7054
130,5,21,9,143.27
131,5,21,9,144.6034
132,5,21,7,145.9367
133,5,22,7,147.0975
134,5,22,6,148.3437
135,5,22,5,149.677
136,5,22,3,150.965
137,5,22,2,151.9946
138,5,22,1,153.3604
139,5,22,1,154.4235
140,5,22,0,156.5209
141,5,23,1,157.8542
142,5,23,1,159.1875
143,5,23,1,160.5209
144,5,23,1,161.8762
145,5,23,1,162.8765
146,5,23,1,163.8978
147,5,23,0,164.9262
148,5,24,1,165.9456
149,5,24,1,166.9688
150,5,24,1,167.9935
151,6,24,1,169.1384
152,6,24,1,170.1778
153,6,24,1,171.2059
154,6,25,2,172.246
155,6,25,1,173.2643
156,6,25,1,174.9815
157,6,25,1,176.1956
158,6,25,1,177.4563
159,6,25,1,178.5078
160,6,26,2,179.5411
161,6,26,2,180.6161
162,6,26,2,181.6569
163,6,26,2,182.6768
164,6,26,2,183.7401
165,6,27,3,184.8202
166,6,27,3,185.8599
167,6,27,3,186.863
168,6,27,3,187.898
169,6,27,3,188.9149
170,6,27,3,189.9423
171,6,27,3,191.0526
172,6,27,3,192.0985
173,6,28,4,193.1035
174,6,28,4,194.1283
175,6,28,4,195.1654
176,6,28,4,196.1937
177,6,28,4,197.2477
178,6,28,4,198.2527
179,6,28,4,199.2554
180,6,29,5,200.2883
181,7,29,5,201.4498
182,7,29,5,202.4939
183,7,29,5,203.4945
184,7,29,4,204.5723
185,7,29,3,205.8184
186,7,29,2,207.5393
187,7,29,2,208.5973
188,7,30,3,209.7981
189,7,30,3,210.9074
190,7,30,3,211.9403
191,7,30,3,212.9762
192,7,30,3,214.0522
193,7,30,3,215.1001
194,7,30,3,216.1204
195,7,30,3,217.204
196,7,31,4,218.4246
197,7,31,4,220.5042
198,7,31,4,221.8376
199,7,31,4,223.1709
200,7,31,4,224.5042
201,7,32,5,225.6053
202,7,32,5,226.7889
203,7,32,5,228.1223
204,7,32,5,229.4556
205,7,32,5,231.0984
206,7,32,5,232.5475
207,7,33,6,234.1084
208,7,33,5,235.2713
209,7,33,4,236.4046
210,7,33,3,237.635
211,8,33,1,239.4397
212,8,33,1,240.5844
213,8,34,1,241.7718
214,8,34,1,243.459
215,8,34,1,244.7598
216,8,34,1,245.8171
217,8,35,2,247.3481
218,8,35,2,248.3735
219,8,35,1,249.4226
220,8,35,1,250.492
221,8,35,1,251.5011
222,8,35,1,252.5377
223,8,36,2,253.5706
224,8,36,2,254.5944
225,8,36,1,255.6793
226,8,36,1,256.7464
227,8,36,1,257.7621
228,8,36,1,258.7858
229,8,36,1,259.7872
230,8,36,0,260.8871
231,8,37,1,261.9238
232,8,37,1,262.9596
233,8,37,1,264.0309
234,8,37,1,265.0458
235,8,37,1,266.0593
236,8,37,1,267.1374
237,8,37,1,268.1952
238,8,37,1,269.2086
239,8,38,2,270.3015
240,8,38,2,271.6349
241,9,38,2,273.2409
242,9,38,2,274.4177
243,9,39,3,275.7141
244,9,39,3,276.7233
245,9,39,3,277.7704
246,9,39,3,278.7745
247,9,39,3,279.7894
248,9,39,3,280.7925
249,9,40,4,281.8087
250,9,40,4,282.9067
251,9,40,4,283.9357
252,9,40,4,284.9556
253,9,40,4,285.9615
254,9,40,4,287.1248
255,9,41,5,288.1966
256,9,41,5,289.2323
257,9,41,5,290.2606
258,9,41,5,291.3186
259,9,41,5,292.4023
260,9,42,6,293.5082
261,9,42,6,294.6998
262,9,42,5,295.9195
263,9,42,5,297.0522
264,9,43,6,298.4455
265,9,43,6,299.6983
266,9,43,6,300.8592
267,9,43,6,302.0259
268,9,43,6,303.3593
269,9,43,6,304.4691
270,9,44,7,305.7077
271,10,44,7,306.7668
272,10,44,7,307.8289
273,10,44,7,308.9787
274,10,44,7,309.9894
275,10,45,8,311.5214
276,10,45,8,312.5293
277,10,45,8,313.6757
278,10,45,8,314.6938
279,10,45,8,315.7141
280,10,45,8,316.719
281,10,46,9,317.8001
282,10,46,9,318.9538
283,10,46,9,320.0257
284,10,46,9,321.0796
285,10,46,9,322.1877
286,10,46,9,323.3915
287,10,46,9,324.558
288,10,47,9,325.5594
289,10,47,8,326.5805
290,10,47,7,327.7776
291,10,47,6,328.9921
292,10,47,5,330.0827
293,10,48,5,331.1513
294,10,48,3,332.2887
295,10,48,3,333.983
296,10,48,1,335.0628
297,10,48,1,336.3004
298,10,49,2,337.3716
299,10,49,1,338.4353
300,10,49,1,339.4513
301,11,49,1,340.469
302,11,49,1,341.5671
303,11,49,1,342.6095
304,11,49,1,343.7345
305,11,50,2,344.7495
306,11,50,1,345.7975
307,11,50,1,346.8292
308,11,50,1,347.9102
309,11,50,1,348.9197
310,11,50,1,349.939
311,11,50,1,350.9419
312,11,50,1,351.9518
313,11,50,0,352.9755
314,11,51,1,354.0536
315,11,51,1,355.0779
316,11,51,1,356.1412
317,11,51,1,357.1598
318,11,51,1,358.2134
319,11,52,2,359.3004
320,11,52,2,360.3166
321,11,52,2,361.3461
322,11,52,2,362.3826
323,11,52,2,363.4943
324,11,53,3,365.5426
325,11,53,3,366.9183
326,11,53,3,367.9807
327,11,53,3,369.3322
328,11,54,4,370.4552
329,11,54,4,371.6703
330,11,54,4,372.6733
331,12,54,4,373.6739
332,12,54,4,374.6899
333,12,54,4,375.6939
334,12,54,4,376.7318
335,12,55,5,377.7697
336,12,55,5,378.812
337,12,55,5,379.831
338,12,55,5,381.2847
339,12,55,5,382.9231
340,12,55,5,384.0441
341,12,55,5,385.1116
342,12,55,5,386.1472
343,12,55,5,387.3143
344,12,56,6,388.3425
345,12,56,6,389.4041
346,12,56,6,390.9776
347,12,56,6,392.9035
348,12,56,6,393.9482
349,12,56,6,395.0171
350,12,57,7,396.1588
351,12,57,7,397.1925
352,12,57,7,399.4587
353,12,57,7,401.193
354,12,57,7,402.5089
355,12,57,7,404.0658
356,12,57,7,405.1926
357,12,58,8,406.3134
358,12,58,8,407.3888
359,12,58,8,408.4124
360,12,58,8,409.4972
361,13,58,8,410.5423
362,13,58,8,411.6837
363,13,59,9,412.738
364,13,59,9,413.8999
365,13,59,9,415.3144
366,13,59,6,417.0458
367,13,59,6,418.4785
368,13,59,5,419.8534
369,13,59,3,420.9337
370,13,59,3,422.0041
371,13,60,3,423.1955
372,13,60,2,424.4242
373,13,60,1,425.7685
374,13,60,1,426.8363
375,13,60,1,427.904
376,13,60,1,428.9269
377,13,60,0,430.8548
378,13,61,1,431.9446
379,13,61,1,432.9747
380,13,61,1,433.9831
381,13,61,1,434.9855
382,13,61,1,436.3156
383,13,61,1,437.4657
384,13,61,1,438.5002
385,13,61,0,439.5004
386,13,62,1,440.5735
387,13,62,1,441.6515
388,13,62,1,442.7836
389,13,62,1,443.8035
390,13,62,1,444.8441
391,14,62,1,445.9106
392,14,63,2,447.0211
393,14,63,2,448.0935
394,14,63,2,449.1653
395,14,63,2,450.1878
396,14,63,2,451.2032
397,14,64,3,452.4431
398,14,64,3,453.6639
399,14,64,3,454.6753
400,14,64,3,455.715
401,14,64,3,456.7472
402,14,64,3,457.7838
403,14,64,3,458.814
404,14,64,3,459.8462
405,14,65,4,460.854
406,14,65,4,462.0653
407,14,65,4,464.2478
408,14,65,4,465.6606
409,14,65,4,466.7284
410,14,65,4,467.7609
411,14,66,5,468.9055
412,14,66,5,469.9441
413,14,66,5,471.2251
414,14,66,5,472.2821
415,14,66,5,473.2885
416,14,67,6,474.3645
417,14,67,6,475.5197
418,14,67,6,476.5399
419,14,67,6,477.5556
420,14,67,6,478.6814
421,15,67,6,480.3658
422,15,68,7,481.9216
423,15,68,7,483.208
424,15,68,7,484.3407
425,15,68,7,485.4969
426,15,68,7,486.5534
427,15,68,7,487.5598
428,15,68,7,488.6974
429,15,69,8,489.7403
430,15,69,8,491.0726
431,15,69,8,492.1216
432,15,69,8,493.1246
433,15,69,8,494.2325
434,15,69,8,496.2092
435,15,69,8,497.8233
436,15,70,9,498.8268
437,15,70,9,499.8884
438,15,70,9,500.9804
439,15,70,9,502.1154
440,15,70,9,503.2167
441,15,70,9,504.3114
442,15,70,9,505.5994
443,15,70,8,507.3774
444,15,71,8,508.7107
445,15,71,6,510.044
446,15,71,5,511.3774
447,15,71,4,512.7107
448,15,71,3,514.044
449,15,72,3,515.3774
450,15,72,1,516.7107
451,16,72,1,518.044
452,16,72,1,519.3765
453,16,72,1,520.7098
454,16,73,2,522.0432
455,16,73,1,523.3765
456,16,73,1,524.6953
457,16,73,1,526.0286
458,16,73,1,527.3619
459,16,74,2,529.1042
460,16,74,1,530.3086
461,16,74,1,531.3342
462,16,74,1,532.4316
463,16,74,1,533.4687
464,16,74,1,534.4927
465,16,74,1,535.5408
466,16,75,2,536.6125
467,16,75,2,537.7311
468,16,75,2,538.8445
469,16,75,2,539.87
470,16,75,2,540.9505
471,16,76,3,541.9513
472,16,76,3,542.9645
473,16,76,3,543.9932
474,16,76,3,545.0134
475,16,76,3,546.058
476,16,76,3,547.061
477,16,76,3,549.2012
478,16,77,4,550.5627
479,16,77,4,551.6084
480,16,77,4,552.6384
481,17,77,4,553.6777
482,17,77,4,554.7239
483,17,77,4,555.7469
484,17,78,5,556.7941
485,17,78,5,557.8012
486,17,78,5,558.8741
487,17,78,5,560.0424
488,17,78,5,561.2264
489,17,78,5,562.2266
490,17,79,6,563.2549
491,17,79,6,564.2957
492,17,79,6,565.4692
493,17,79,6,566.4771
494,17,79,6,567.5063
495,17,79,6,568.593
496,17,80,7,569.7899
497,17,80,7,570.8483
498,17,80,7,572.016
499,17,80,7,573.7522
500,17,80,7,574.9982
501,17,80,7,576.3315
502,17,80,7,577.4916
503,17,81,8,579.3962
504,17,81,8,580.7296
505,17,81,8,581.8757
506,17,81,8,583.209
507,17,81,8,584.923
508,17,81,8,586.2614
509,17,81,8,587.3074
510,17,82,9,588.6162
511,18,82,9,589.947
512,18,82,9,591.2803
513,18,82,9,592.6136
514,18,82,9,593.947
515,18,82,9,595.2803
516,18,82,9,596.6136
517,18,82,7,597.947
518,18,83,7,599.2786
519,18,83,5,600.2824
520,18,83,4,602.2155
521,18,83,2,603.9286
522,18,83,2,605.043
523,18,83,1,606.0613
524,18,84,1,607.1478
525,18,84,1,608.9762
526,18,84,1,610.1241
527,18,84,1,611.1503
528,18,84,1,612.1763
529,18,85,2,613.205
530,18,85,2,614.2139
531,18,85,1,615.2324
532,18,85,1,616.2335
533,18,85,1,617.291
534,18,85,1,618.3543
535,18,85,1,619.4332
536,18,85,0,620.5371
537,18,86,1,621.5398
538,18,86,1,622.5483
539,18,86,1,623.6321
540,18,86,1,624.6806
541,19,86,1,625.6966
542,19,86,1,626.7012
543,19,86,1,627.7042
544,19,87,2,628.8015
545,19,87,2,629.8839
546,19,87,2,630.9268
547,19,87,2,631.9814
548,19,87,2,632.9882
549,19,87,2,634.1019
550,19,88,3,635.1425
551,19,88,3,636.1556
552,19,88,3,637.163
553,19,88,3,638.223
554,19,88,3,639.4089
555,19,88,3,640.4268
556,19,88,3,641.4745
557,19,89,4,642.4979
558,19,89,4,644.1526
559,19,89,4,645.4175
560,19,89,4,646.4383
561,19,89,4,647.4631
562,19,89,4,648.4802
563,19,89,4,649.5316
564,19,89,4,650.5798
565,19,89,4,651.6224
566,19,90,5,652.6385
567,19,90,5,653.6686
568,19,90,5,654.731
569,19,90,5,655.9274
570,19,90,5,656.9595
571,20,91,6,658.0209
572,20,91,6,659.1075
573,20,91,6,660.329
574,20,91,6,661.4382
575,20,91,6,662.5311
576,20,91,6,663.6
577,20,91,6,664.6235
578,20,91,6,665.7742
579,20,92,7,666.9391
580,20,92,7,668.1174
581,20,92,7,669.4078
582,20,92,7,670.6379
583,20,92,7,672.0695
584,20,92,7,673.09
585,20,92,7,674.1656
586,20,92,7,676.1586
587,20,93,8,677.3992
588,20,93,8,679.2797
589,20,93,8,680.3339
590,20,93,8,681.5435
591,20,93,8,682.8682
592,20,93,8,683.9018
593,20,93,8,684.9687
594,20,94,9,686.0201
595,20,94,9,687.2781
596,20,94,8,688.5386
597,20,94,7,689.8719
598,20,94,5,691.2053
599,20,95,4,692.5386
600,20,95,4,693.8719
601,21,95,2,695.2053
602,21,95,1,696.5386
603,21,95,1,697.7583
604,21,95,1,698.9145
605,21,96,1,700.1865
606,21,96,1,701.3452
607,21,96,1,702.6948
608,21,96,1,703.7339
609,21,96,1,704.7812
610,21,97,1,706.8307
611,21,97,1,708.1319
612,21,97,1,709.2205
613,21,97,1,710.2574
614,21,98,2,711.3264
615,21,98,2,712.3947
616,21,98,1,713.5861
617,21,98,1,714.6061
618,21,98,1,715.6334
619,21,99,2,716.6899
620,21,99,2,717.7515
621,21,99,2,718.7543
622,21,99,2,719.7689
623,21,99,2,720.7874
624,21,99,2,721.8631
625,21,99,2,722.8961
626,21,100,3,724.013
627,21,100,3,725.028
628,21,100,3,726.0312
629,21,100,3,727.1422
630,21,100,3,728.2126
631,22,100,3,729.2148
632,22,101,4,730.222
633,22,101,4,731.237
634,22,101,4,732.26
635,22,101,4,733.3357
636,22,101,4,734.3589
637,22,101,4,735.3841
638,22,102,5,736.416
639,22,102,5,737.5977
640,22,102,5,738.6813
641,22,102,5,740.4845
642,22,102,5,741.7037
643,22,102,5,742.9792
644,22,102,5,743.9813
645,22,103,6,744.9828
646,22,103,6,746.0231
647,22,103,6,747.0473
648,22,103,6,748.0858
649,22,103,6,749.1415
650,22,103,6,750.247
651,22,103,6,751.282
652,22,104,7,752.3716
653,22,104,7,753.4138
654,22,104,7,754.4581
655,22,104,7,755.6608
656,22,104,7,756.6949
657,22,104,7,757.7045
658,22,104,7,758.7571
659,22,104,7,759.8865
660,22,105,8,760.9172
661,23,105,8,761.9455
662,23,105,8,762.9514
663,23,105,8,764.0033
664,23,105,8,765.1218
665,23,106,9,766.1543
666,23,106,9,767.1772
667,23,106,9,768.2656
668,23,106,9,769.3765
669,23,106,9,771.0747
670,23,106,9,772.4476
671,23,107,10,773.5731
672,23,107,10,774.6296
673,23,107,10,775.7523
674,23,107,10,776.8104
675,23,107,9,778.3129
676,23,107,7,779.8233
677,23,108,6,781.2089
678,23,108,5,782.6379
679,23,108,3,784.5399
680,23,108,2,785.8732
681,23,108,1,786.9774
682,23,109,2,788.3587
683,23,109,1,789.4651
684,23,109,1,790.5909
685,23,109,1,791.6127
686,23,109,1,792.6313
687,23,109,1,793.6453
688,23,109,1,794.6693
689,23,109,0,795.6862
690,23,109,0,796.7132
691,24,109,0,797.7347
692,24,110,1,798.7982
693,24,110,1,799.9949
694,24,110,1,801.0739
695,24,110,1,802.1808
696,24,110,1,803.4724
697,24,110,1,805.2051
698,24,110,0,806.7365
699,24,111,1,807.7726
700,24,111,1,808.8384
701,24,111,1,809.8439
702,24,111,1,810.908
703,24,111,1,811.963
704,24,112,2,813.013
705,24,112,2,814.0782
706,24,112,2,815.1553
707,24,112,2,816.1988
708,24,112,2,817.2229
709,24,113,3,818.2737
710,24,113,3,819.3293
711,24,113,3,820.3605
712,24,113,3,821.4244
713,24,113,3,822.4664
714,24,114,4,823.5015
715,24,114,4,824.558
716,24,114,4,825.6141
717,24,114,4,826.6443
718,24,114,4,827.9517
719,24,114,4,829.0199
720,24,114,4,830.0549
721,25,115,5,831.0751
722,25,115,5,832.0804
723,25,115,5,833.0808
724,25,115,5,834.1374
725,25,115,5,836.3145
726,25,116,6,837.8771
727,25,116,6,838.9335
728,25,116,6,839.9819
729,25,116,6,841.1169
730,25,116,6,842.1394
731,25,116,6,843.1808
732,25,117,7,844.1943
733,25,117,7,845.2657
734,25,117,7,846.4194
735,25,117,7,847.4263
736,25,117,7,848.4521
737,25,117,7,849.4559
738,25,118,8,850.4596
739,25,118,8,851.4777
740,25,118,8,852.5106
741,25,118,8,853.5222
742,25,118,8,854.7239
743,25,118,8,855.8954
744,25,119,9,857.3436
745,25,119,9,858.3666
746,25,119,9,859.6405
747,25,119,9,860.6812
748,25,120,10,861.8205
749,25,120,10,862.8522
750,25,120,10,863.8923
751,26,120,10,864.9069
752,26,120,10,866.4283
753,26,120,10,867.7617
754,26,120,8,868.8895
755,26,121,8,870.4301
756,26,121,7,871.5767
757,26,121,5,872.6251
758,26,121,4,873.809
759,26,121,3,874.9304
760,26,122,3,876.0008
761,26,122,2,877.0425
762,26,122,2,878.2888
763,26,122,1,879.3521
764,26,122,1,880.3698
765,26,122,1,881.3862
766,26,122,1,882.4594
767,26,123,1,883.4728
768,26,123,1,884.48
769,26,123,1,885.4974
770,26,123,1,886.5516
771,26,123,1,887.5682
772,26,124,2,888.5804
773,26,124,2,889.5804
774,26,124,1,890.6153
775,26,124,1,891.629
776,26,124,1,892.6721
777,26,124,1,893.7025
778,26,124,1,894.7281
779,26,125,2,895.7979
780,26,125,1,896.8611
781,27,125,1,898.4594
782,27,125,1,899.7747
783,27,125,1,900.8616
784,27,125,1,901.8628
785,27,126,2,902.9349
786,27,126,2,903.9432
787,27,126,2,905.4681
788,27,126,2,906.6011
789,27,126,2,907.6599
790,27,126,2,908.6655
791,27,127,3,909.6968
792,27,127,3,910.6996
793,27,127,3,911.7177
794,27,127,3,912.7697
795,27,127,3,913.7784
796,27,128,4,914.7933
797,27,128,4,915.8417
798,27,128,4,916.8676
799,27,128,4,917.9014
800,27,128,4,918.9073
801,27,128,4,919.9186
802,27,128,4,920.9258
803,27,128,4,921.9339
804,27,129,5,922.9392
805,27,129,5,924.0069
806,27,129,5,925.1896
807,27,129,5,926.2429
808,27,129,4,927.2505
809,27,129,3,928.4271
810,27,129,2,929.9479
811,28,130,3,931.4352
812,28,130,3,932.5033
813,28,130,3,933.5286
814,28,130,3,934.6827
815,28,130,3,935.74
816,28,130,3,936.7811
817,28,131,4,937.7843
818,28,131,4,938.945
819,28,131,4,940.02
820,28,131,4,941.0203
821,28,131,4,942.0334
822,28,131,4,943.1165
823,28,131,4,944.1565
824,28,131,4,945.174
825,28,131,4,946.1852
826,28,132,5,947.1921
827,28,132,5,948.3033
828,28,132,5,949.375
829,28,132,5,950.4135
830,28,132,5,951.4488
831,28,132,5,952.4497
832,28,132,5,953.48
833,28,132,5,954.5131
834,28,133,6,955.578
835,28,133,6,956.7173
836,28,133,6,957.8752
837,28,133,3,959.373
838,28,133,2,960.4277
839,28,133,1,962.2289
840,28,133,0,963.5623
841,29,134,1,964.8956
842,29,134,1,966.2233
843,29,134,1,967.5566
844,29,134,1,968.89
845,29,134,1,970.0822
846,29,135,1,971.8104
847,29,135,1,973.2243
848,29,135,1,974.3265
849,29,135,1,975.3387
850,29,135,1,976.421
851,29,136,2,977.5468
852,29,136,1,978.5504
853,29,136,1,979.566
854,29,136,1,980.587
855,29,136,1,981.6119
856,29,137,2,982.7363
857,29,137,2,983.8318
858,29,137,2,984.8347
859,29,137,1,985.8621
860,29,137,1,986.873
861,29,138,2,988.0251
862,29,138,2,989.1395
863,29,138,2,990.2733
864,29,138,2,991.3124
865,29,138,2,993.432
866,29,138,2,994.7654
867,29,138,2,995.8438
868,29,139,3,997.6405
